week,product,category,price,unit_cost,promo,units_sold
41,Premium Coffee Beans 1kg,grocery,22.8,11.0,0,767
42,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,487
43,Premium Coffee Beans 1kg,grocery,22.8,11.0,0,792
44,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,601
45,Premium Coffee Beans 1kg,grocery,22.8,11.0,0,563
46,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,679
47,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,783
48,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,636
49,Premium Coffee Beans 1kg,grocery,17.34,11.0,1,2262
50,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,813
51,Premium Coffee Beans 1kg,grocery,21.6,11.0,0,795
52,Premium Coffee Beans 1kg,grocery,27.6,11.0,0,453
53,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,727
54,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,809
55,Premium Coffee Beans 1kg,grocery,20.4,11.0,1,2090
56,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,684
57,Premium Coffee Beans 1kg,grocery,27.6,11.0,0,653
58,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,753
59,Premium Coffee Beans 1kg,grocery,20.4,11.0,1,1933
60,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,724
61,Premium Coffee Beans 1kg,grocery,18.36,11.0,1,1888
62,Premium Coffee Beans 1kg,grocery,21.6,11.0,0,1414
63,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,936
64,Premium Coffee Beans 1kg,grocery,27.6,11.0,0,579
65,Premium Coffee Beans 1kg,grocery,21.6,11.0,0,1515
66,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,762
67,Premium Coffee Beans 1kg,grocery,26.4,11.0,0,779
68,Premium Coffee Beans 1kg,grocery,27.6,11.0,0,602
69,Premium Coffee Beans 1kg,grocery,22.8,11.0,0,886
70,Premium Coffee Beans 1kg,grocery,27.6,11.0,0,673
71,Premium Coffee Beans 1kg,grocery,27.6,11.0,0,663
72,Premium Coffee Beans 1kg,grocery,20.4,11.0,0,1394
73,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,764
74,Premium Coffee Beans 1kg,grocery,27.6,11.0,0,785
75,Premium Coffee Beans 1kg,grocery,20.4,11.0,0,879
76,Premium Coffee Beans 1kg,grocery,20.4,11.0,0,1381
77,Premium Coffee Beans 1kg,grocery,20.4,11.0,0,964
78,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,841
79,Premium Coffee Beans 1kg,grocery,26.4,11.0,0,667
80,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,687
81,Premium Coffee Beans 1kg,grocery,20.4,11.0,1,1674
82,Premium Coffee Beans 1kg,grocery,20.4,11.0,0,665
83,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,530
84,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,620
85,Premium Coffee Beans 1kg,grocery,21.6,11.0,0,636
86,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,687
87,Premium Coffee Beans 1kg,grocery,20.4,11.0,0,812
88,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,771
89,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,504
90,Premium Coffee Beans 1kg,grocery,20.4,11.0,1,1225
91,Premium Coffee Beans 1kg,grocery,20.4,11.0,1,1207
92,Premium Coffee Beans 1kg,grocery,20.4,11.0,0,1133
93,Premium Coffee Beans 1kg,grocery,27.6,11.0,0,453
94,Premium Coffee Beans 1kg,grocery,25.2,11.0,0,597
95,Premium Coffee Beans 1kg,grocery,22.44,11.0,1,901
96,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,619
97,Premium Coffee Beans 1kg,grocery,21.6,11.0,0,723
98,Premium Coffee Beans 1kg,grocery,27.6,11.0,0,494
99,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,526
100,Premium Coffee Beans 1kg,grocery,22.8,11.0,0,627
101,Premium Coffee Beans 1kg,grocery,21.6,11.0,0,1344
102,Premium Coffee Beans 1kg,grocery,20.4,11.0,1,1441
103,Premium Coffee Beans 1kg,grocery,24.0,11.0,0,616
0,House Blend Coffee 1kg,grocery,14.0,7.5,0,267
1,House Blend Coffee 1kg,grocery,12.6,7.5,0,305
2,House Blend Coffee 1kg,grocery,12.5,7.5,1,585
3,House Blend Coffee 1kg,grocery,10.12,7.5,1,1075
4,House Blend Coffee 1kg,grocery,15.4,7.5,0,254
5,House Blend Coffee 1kg,grocery,14.0,7.5,0,314
6,House Blend Coffee 1kg,grocery,14.0,7.5,0,314
7,House Blend Coffee 1kg,grocery,11.9,7.5,0,636
8,House Blend Coffee 1kg,grocery,13.3,7.5,0,314
9,House Blend Coffee 1kg,grocery,11.9,7.5,0,529
10,House Blend Coffee 1kg,grocery,14.7,7.5,0,342
11,House Blend Coffee 1kg,grocery,11.9,7.5,0,431
12,House Blend Coffee 1kg,grocery,14.0,7.5,0,341
13,House Blend Coffee 1kg,grocery,15.4,7.5,0,260
14,House Blend Coffee 1kg,grocery,13.3,7.5,0,490
15,House Blend Coffee 1kg,grocery,14.0,7.5,0,325
16,House Blend Coffee 1kg,grocery,12.6,7.5,0,415
17,House Blend Coffee 1kg,grocery,13.3,7.5,0,400
18,House Blend Coffee 1kg,grocery,13.3,7.5,0,431
19,House Blend Coffee 1kg,grocery,13.3,7.5,0,367
20,House Blend Coffee 1kg,grocery,12.6,7.5,0,517
21,House Blend Coffee 1kg,grocery,13.3,7.5,0,473
22,House Blend Coffee 1kg,grocery,14.0,7.5,0,407
23,House Blend Coffee 1kg,grocery,14.0,7.5,0,345
24,House Blend Coffee 1kg,grocery,15.4,7.5,0,206
25,House Blend Coffee 1kg,grocery,14.7,7.5,0,211
26,House Blend Coffee 1kg,grocery,14.0,7.5,0,286
27,House Blend Coffee 1kg,grocery,15.4,7.5,0,244
28,House Blend Coffee 1kg,grocery,14.0,7.5,0,211
29,House Blend Coffee 1kg,grocery,11.9,7.5,0,336
30,House Blend Coffee 1kg,grocery,14.0,7.5,0,288
31,House Blend Coffee 1kg,grocery,14.0,7.5,0,217
32,House Blend Coffee 1kg,grocery,14.7,7.5,0,199
33,House Blend Coffee 1kg,grocery,14.0,7.5,0,223
34,House Blend Coffee 1kg,grocery,11.9,7.5,0,258
35,House Blend Coffee 1kg,grocery,14.0,7.5,0,244
36,House Blend Coffee 1kg,grocery,14.0,7.5,0,172
37,House Blend Coffee 1kg,grocery,14.0,7.5,0,261
38,House Blend Coffee 1kg,grocery,12.5,7.5,1,479
39,House Blend Coffee 1kg,grocery,11.9,7.5,0,329
40,House Blend Coffee 1kg,grocery,14.7,7.5,0,216
41,House Blend Coffee 1kg,grocery,13.3,7.5,0,284
42,House Blend Coffee 1kg,grocery,14.0,7.5,0,233
43,House Blend Coffee 1kg,grocery,13.3,7.5,0,324
44,House Blend Coffee 1kg,grocery,14.7,7.5,0,273
45,House Blend Coffee 1kg,grocery,14.0,7.5,0,217
46,House Blend Coffee 1kg,grocery,14.0,7.5,0,252
47,House Blend Coffee 1kg,grocery,14.0,7.5,0,293
48,House Blend Coffee 1kg,grocery,14.0,7.5,0,378
49,House Blend Coffee 1kg,grocery,11.9,7.5,0,294
50,House Blend Coffee 1kg,grocery,11.9,7.5,0,421
51,House Blend Coffee 1kg,grocery,14.7,7.5,0,189
52,House Blend Coffee 1kg,grocery,16.1,7.5,0,173
53,House Blend Coffee 1kg,grocery,14.0,7.5,0,315
54,House Blend Coffee 1kg,grocery,14.0,7.5,0,204
55,House Blend Coffee 1kg,grocery,11.9,7.5,0,427
56,House Blend Coffee 1kg,grocery,11.9,7.5,0,480
57,House Blend Coffee 1kg,grocery,10.12,7.5,1,1075
58,House Blend Coffee 1kg,grocery,10.71,7.5,1,884
59,House Blend Coffee 1kg,grocery,12.6,7.5,0,486
60,House Blend Coffee 1kg,grocery,13.3,7.5,0,360
61,House Blend Coffee 1kg,grocery,12.5,7.5,1,723
62,House Blend Coffee 1kg,grocery,16.1,7.5,0,184
63,House Blend Coffee 1kg,grocery,15.4,7.5,0,236
64,House Blend Coffee 1kg,grocery,16.1,7.5,0,243
65,House Blend Coffee 1kg,grocery,16.1,7.5,0,291
66,House Blend Coffee 1kg,grocery,11.9,7.5,1,911
67,House Blend Coffee 1kg,grocery,12.6,7.5,0,388
68,House Blend Coffee 1kg,grocery,15.4,7.5,0,227
69,House Blend Coffee 1kg,grocery,14.7,7.5,0,333
70,House Blend Coffee 1kg,grocery,14.7,7.5,0,308
71,House Blend Coffee 1kg,grocery,14.0,7.5,0,350
72,House Blend Coffee 1kg,grocery,14.0,7.5,0,370
73,House Blend Coffee 1kg,grocery,12.5,7.5,1,549
74,House Blend Coffee 1kg,grocery,14.0,7.5,0,330
75,House Blend Coffee 1kg,grocery,14.0,7.5,0,318
76,House Blend Coffee 1kg,grocery,12.6,7.5,0,368
77,House Blend Coffee 1kg,grocery,16.1,7.5,0,239
78,House Blend Coffee 1kg,grocery,14.0,7.5,0,301
79,House Blend Coffee 1kg,grocery,16.1,7.5,0,204
80,House Blend Coffee 1kg,grocery,12.6,7.5,0,361
81,House Blend Coffee 1kg,grocery,11.9,7.5,0,482
82,House Blend Coffee 1kg,grocery,15.4,7.5,0,202
83,House Blend Coffee 1kg,grocery,14.0,7.5,0,224
84,House Blend Coffee 1kg,grocery,16.1,7.5,0,146
85,House Blend Coffee 1kg,grocery,11.9,7.5,1,512
86,House Blend Coffee 1kg,grocery,12.6,7.5,0,275
87,House Blend Coffee 1kg,grocery,12.6,7.5,0,297
88,House Blend Coffee 1kg,grocery,14.0,7.5,0,264
89,House Blend Coffee 1kg,grocery,14.7,7.5,0,248
90,House Blend Coffee 1kg,grocery,14.0,7.5,0,359
91,House Blend Coffee 1kg,grocery,14.7,7.5,0,262
92,House Blend Coffee 1kg,grocery,12.6,7.5,0,309
93,House Blend Coffee 1kg,grocery,16.1,7.5,0,146
94,House Blend Coffee 1kg,grocery,14.0,7.5,0,266
95,House Blend Coffee 1kg,grocery,15.4,7.5,0,200
96,House Blend Coffee 1kg,grocery,14.0,7.5,0,232
97,House Blend Coffee 1kg,grocery,13.3,7.5,0,211
98,House Blend Coffee 1kg,grocery,11.9,7.5,1,429
99,House Blend Coffee 1kg,grocery,15.4,7.5,0,230
100,House Blend Coffee 1kg,grocery,14.7,7.5,0,142
101,House Blend Coffee 1kg,grocery,11.9,7.5,0,597
102,House Blend Coffee 1kg,grocery,14.0,7.5,0,292
103,House Blend Coffee 1kg,grocery,13.3,7.5,0,302
0,Organic Green Tea,grocery,8.48,4.0,1,1127
1,Organic Green Tea,grocery,8.55,4.0,0,680
2,Organic Green Tea,grocery,10.92,4.0,0,471
3,Organic Green Tea,grocery,10.92,4.0,0,696
4,Organic Green Tea,grocery,9.5,4.0,0,649
5,Organic Green Tea,grocery,8.07,4.0,1,1293
6,Organic Green Tea,grocery,9.5,4.0,0,682
7,Organic Green Tea,grocery,9.5,4.0,0,683
8,Organic Green Tea,grocery,8.48,4.0,1,1370
9,Organic Green Tea,grocery,8.55,4.0,0,1047
10,Organic Green Tea,grocery,8.07,4.0,0,727
11,Organic Green Tea,grocery,8.07,4.0,0,997
12,Organic Green Tea,grocery,9.5,4.0,0,747
13,Organic Green Tea,grocery,8.48,4.0,1,1087
14,Organic Green Tea,grocery,10.92,4.0,0,670
15,Organic Green Tea,grocery,9.03,4.0,0,860
16,Organic Green Tea,grocery,9.03,4.0,0,776
17,Organic Green Tea,grocery,9.5,4.0,0,637
18,Organic Green Tea,grocery,9.5,4.0,0,685
19,Organic Green Tea,grocery,8.07,4.0,1,1294
20,Organic Green Tea,grocery,9.97,4.0,0,597
21,Organic Green Tea,grocery,9.97,4.0,0,746
22,Organic Green Tea,grocery,8.07,4.0,1,1357
23,Organic Green Tea,grocery,10.92,4.0,0,445
24,Organic Green Tea,grocery,8.07,4.0,1,1034
25,Organic Green Tea,grocery,9.03,4.0,0,558
26,Organic Green Tea,grocery,10.92,4.0,0,506
27,Organic Green Tea,grocery,9.5,4.0,0,426
28,Organic Green Tea,grocery,9.5,4.0,0,517
29,Organic Green Tea,grocery,8.88,4.0,1,1291
30,Organic Green Tea,grocery,9.97,4.0,0,572
31,Organic Green Tea,grocery,9.5,4.0,0,476
32,Organic Green Tea,grocery,10.45,4.0,0,382
33,Organic Green Tea,grocery,8.48,4.0,1,871
34,Organic Green Tea,grocery,10.92,4.0,0,472
35,Organic Green Tea,grocery,10.92,4.0,0,488
36,Organic Green Tea,grocery,9.97,4.0,0,457
37,Organic Green Tea,grocery,8.07,4.0,0,737
38,Organic Green Tea,grocery,8.55,4.0,0,474
39,Organic Green Tea,grocery,6.86,4.0,1,1016
40,Organic Green Tea,grocery,10.45,4.0,0,504
41,Organic Green Tea,grocery,9.97,4.0,0,409
42,Organic Green Tea,grocery,9.5,4.0,0,491
43,Organic Green Tea,grocery,8.07,4.0,0,639
44,Organic Green Tea,grocery,9.29,4.0,1,733
45,Organic Green Tea,grocery,8.07,4.0,1,917
46,Organic Green Tea,grocery,9.5,4.0,0,481
47,Organic Green Tea,grocery,9.97,4.0,0,699
48,Organic Green Tea,grocery,10.92,4.0,0,355
49,Organic Green Tea,grocery,9.03,4.0,0,617
50,Organic Green Tea,grocery,10.45,4.0,0,589
51,Organic Green Tea,grocery,8.55,4.0,0,572
52,Organic Green Tea,grocery,9.5,4.0,0,659
53,Organic Green Tea,grocery,10.92,4.0,0,526
54,Organic Green Tea,grocery,8.55,4.0,0,633
55,Organic Green Tea,grocery,10.92,4.0,0,577
56,Organic Green Tea,grocery,8.55,4.0,0,786
57,Organic Green Tea,grocery,9.5,4.0,0,595
58,Organic Green Tea,grocery,9.5,4.0,0,628
59,Organic Green Tea,grocery,8.07,4.0,0,1118
60,Organic Green Tea,grocery,10.92,4.0,0,609
61,Organic Green Tea,grocery,10.92,4.0,0,585
62,Organic Green Tea,grocery,9.5,4.0,0,586
63,Organic Green Tea,grocery,8.55,4.0,0,814
64,Organic Green Tea,grocery,8.55,4.0,0,928
65,Organic Green Tea,grocery,9.5,4.0,0,622
66,Organic Green Tea,grocery,8.55,4.0,0,1301
67,Organic Green Tea,grocery,8.55,4.0,0,942
68,Organic Green Tea,grocery,9.97,4.0,0,783
69,Organic Green Tea,grocery,9.5,4.0,0,692
70,Organic Green Tea,grocery,9.97,4.0,0,647
71,Organic Green Tea,grocery,10.92,4.0,0,684
72,Organic Green Tea,grocery,8.07,4.0,1,1204
73,Organic Green Tea,grocery,9.97,4.0,0,638
74,Organic Green Tea,grocery,9.29,4.0,1,894
75,Organic Green Tea,grocery,9.29,4.0,1,690
76,Organic Green Tea,grocery,9.29,4.0,1,949
77,Organic Green Tea,grocery,9.5,4.0,0,630
78,Organic Green Tea,grocery,8.48,4.0,1,1262
79,Organic Green Tea,grocery,9.5,4.0,0,542
80,Organic Green Tea,grocery,9.5,4.0,0,681
81,Organic Green Tea,grocery,8.07,4.0,1,1200
82,Organic Green Tea,grocery,8.55,4.0,0,661
83,Organic Green Tea,grocery,8.07,4.0,0,566
84,Organic Green Tea,grocery,9.5,4.0,0,483
85,Organic Green Tea,grocery,10.45,4.0,0,587
86,Organic Green Tea,grocery,10.92,4.0,0,392
87,Organic Green Tea,grocery,9.5,4.0,0,572
88,Organic Green Tea,grocery,9.5,4.0,0,453
89,Organic Green Tea,grocery,8.07,4.0,0,682
90,Organic Green Tea,grocery,7.67,4.0,1,1073
91,Organic Green Tea,grocery,7.27,4.0,1,1252
92,Organic Green Tea,grocery,7.27,4.0,1,772
93,Organic Green Tea,grocery,8.07,4.0,0,817
94,Organic Green Tea,grocery,9.97,4.0,0,514
95,Organic Green Tea,grocery,10.45,4.0,0,638
96,Organic Green Tea,grocery,10.92,4.0,0,394
97,Organic Green Tea,grocery,10.45,4.0,0,467
98,Organic Green Tea,grocery,10.92,4.0,0,622
99,Organic Green Tea,grocery,9.5,4.0,0,499
100,Organic Green Tea,grocery,9.5,4.0,0,633
101,Organic Green Tea,grocery,10.45,4.0,0,582
102,Organic Green Tea,grocery,10.45,4.0,0,567
103,Organic Green Tea,grocery,8.07,4.0,0,798
0,Steel Water Bottle,accessories,20.9,6.5,0,319
1,Steel Water Bottle,accessories,19.95,6.5,0,286
2,Steel Water Bottle,accessories,17.1,6.5,0,406
3,Steel Water Bottle,accessories,17.1,6.5,0,428
4,Steel Water Bottle,accessories,16.15,6.5,0,461
5,Steel Water Bottle,accessories,18.57,6.5,1,659
6,Steel Water Bottle,accessories,19.0,6.5,0,350
7,Steel Water Bottle,accessories,17.1,6.5,0,417
8,Steel Water Bottle,accessories,17.1,6.5,0,388
9,Steel Water Bottle,accessories,18.05,6.5,0,426
10,Steel Water Bottle,accessories,21.85,6.5,0,255
11,Steel Water Bottle,accessories,20.9,6.5,0,342
12,Steel Water Bottle,accessories,20.9,6.5,0,253
13,Steel Water Bottle,accessories,18.05,6.5,0,423
14,Steel Water Bottle,accessories,19.0,6.5,0,426
15,Steel Water Bottle,accessories,19.95,6.5,0,262
16,Steel Water Bottle,accessories,21.85,6.5,0,252
17,Steel Water Bottle,accessories,19.0,6.5,0,365
18,Steel Water Bottle,accessories,21.85,6.5,0,268
19,Steel Water Bottle,accessories,16.15,6.5,0,508
20,Steel Water Bottle,accessories,18.05,6.5,0,349
21,Steel Water Bottle,accessories,21.85,6.5,0,202
22,Steel Water Bottle,accessories,21.85,6.5,0,240
23,Steel Water Bottle,accessories,19.95,6.5,0,281
24,Steel Water Bottle,accessories,19.95,6.5,0,298
25,Steel Water Bottle,accessories,19.95,6.5,0,229
26,Steel Water Bottle,accessories,19.95,6.5,0,232
27,Steel Water Bottle,accessories,17.77,6.5,1,604
28,Steel Water Bottle,accessories,19.0,6.5,0,388
29,Steel Water Bottle,accessories,16.15,6.5,0,531
30,Steel Water Bottle,accessories,19.95,6.5,0,262
31,Steel Water Bottle,accessories,19.0,6.5,0,309
32,Steel Water Bottle,accessories,16.15,6.5,0,358
33,Steel Water Bottle,accessories,19.0,6.5,0,302
34,Steel Water Bottle,accessories,18.05,6.5,0,289
35,Steel Water Bottle,accessories,19.0,6.5,0,273
36,Steel Water Bottle,accessories,16.15,6.5,0,308
37,Steel Water Bottle,accessories,18.57,6.5,1,371
38,Steel Water Bottle,accessories,18.05,6.5,0,319
39,Steel Water Bottle,accessories,18.05,6.5,0,262
40,Steel Water Bottle,accessories,19.0,6.5,0,261
41,Steel Water Bottle,accessories,18.05,6.5,0,315
42,Steel Water Bottle,accessories,19.95,6.5,0,165
43,Steel Water Bottle,accessories,19.0,6.5,0,246
44,Steel Water Bottle,accessories,18.05,6.5,0,299
45,Steel Water Bottle,accessories,21.85,6.5,0,160
46,Steel Water Bottle,accessories,19.0,6.5,0,278
47,Steel Water Bottle,accessories,16.15,6.5,0,360
48,Steel Water Bottle,accessories,17.77,6.5,1,395
49,Steel Water Bottle,accessories,20.9,6.5,0,213
50,Steel Water Bottle,accessories,19.0,6.5,0,338
51,Steel Water Bottle,accessories,17.1,6.5,0,321
52,Steel Water Bottle,accessories,20.9,6.5,0,258
53,Steel Water Bottle,accessories,18.05,6.5,0,334
54,Steel Water Bottle,accessories,19.0,6.5,0,434
55,Steel Water Bottle,accessories,21.85,6.5,0,191
56,Steel Water Bottle,accessories,17.1,6.5,0,363
57,Steel Water Bottle,accessories,20.9,6.5,0,293
58,Steel Water Bottle,accessories,21.85,6.5,0,298
59,Steel Water Bottle,accessories,19.95,6.5,0,263
60,Steel Water Bottle,accessories,19.95,6.5,0,230
61,Steel Water Bottle,accessories,17.1,6.5,0,385
62,Steel Water Bottle,accessories,16.15,6.5,0,492
63,Steel Water Bottle,accessories,20.9,6.5,0,281
64,Steel Water Bottle,accessories,20.9,6.5,0,293
65,Steel Water Bottle,accessories,19.0,6.5,0,384
66,Steel Water Bottle,accessories,20.9,6.5,0,304
67,Steel Water Bottle,accessories,21.85,6.5,0,217
68,Steel Water Bottle,accessories,20.9,6.5,0,329
69,Steel Water Bottle,accessories,16.15,6.5,0,578
70,Steel Water Bottle,accessories,16.15,6.5,0,519
71,Steel Water Bottle,accessories,19.0,6.5,0,361
72,Steel Water Bottle,accessories,17.1,6.5,0,237
73,Steel Water Bottle,accessories,20.9,6.5,0,288
74,Steel Water Bottle,accessories,19.95,6.5,0,260
75,Steel Water Bottle,accessories,18.05,6.5,0,330
76,Steel Water Bottle,accessories,16.15,6.5,0,476
77,Steel Water Bottle,accessories,20.9,6.5,0,253
78,Steel Water Bottle,accessories,18.05,6.5,0,332
79,Steel Water Bottle,accessories,19.95,6.5,0,252
80,Steel Water Bottle,accessories,16.15,6.5,1,584
81,Steel Water Bottle,accessories,19.0,6.5,0,275
82,Steel Water Bottle,accessories,17.1,6.5,0,295
83,Steel Water Bottle,accessories,21.85,6.5,0,236
84,Steel Water Bottle,accessories,19.95,6.5,0,256
85,Steel Water Bottle,accessories,19.0,6.5,0,204
86,Steel Water Bottle,accessories,16.15,6.5,0,391
87,Steel Water Bottle,accessories,16.96,6.5,1,371
88,Steel Water Bottle,accessories,19.95,6.5,0,250
89,Steel Water Bottle,accessories,19.95,6.5,0,208
90,Steel Water Bottle,accessories,18.05,6.5,0,373
91,Steel Water Bottle,accessories,21.85,6.5,0,180
92,Steel Water Bottle,accessories,17.1,6.5,0,321
93,Steel Water Bottle,accessories,19.95,6.5,0,257
94,Steel Water Bottle,accessories,19.0,6.5,0,236
95,Steel Water Bottle,accessories,18.05,6.5,0,285
96,Steel Water Bottle,accessories,15.34,6.5,1,552
97,Steel Water Bottle,accessories,19.95,6.5,0,249
98,Steel Water Bottle,accessories,20.9,6.5,0,198
99,Steel Water Bottle,accessories,17.1,6.5,0,288
100,Steel Water Bottle,accessories,17.1,6.5,0,332
101,Steel Water Bottle,accessories,17.1,6.5,0,390
102,Steel Water Bottle,accessories,21.85,6.5,0,224
103,Steel Water Bottle,accessories,21.85,6.5,0,153
0,Canvas Tote Bag,accessories,12.6,3.8,0,754
1,Canvas Tote Bag,accessories,11.4,3.8,0,1235
2,Canvas Tote Bag,accessories,12.0,3.8,0,977
3,Canvas Tote Bag,accessories,12.6,3.8,0,805
4,Canvas Tote Bag,accessories,11.4,3.8,0,1236
5,Canvas Tote Bag,accessories,12.0,3.8,0,823
6,Canvas Tote Bag,accessories,12.6,3.8,0,865
7,Canvas Tote Bag,accessories,12.0,3.8,0,863
8,Canvas Tote Bag,accessories,13.8,3.8,0,582
9,Canvas Tote Bag,accessories,13.8,3.8,0,563
10,Canvas Tote Bag,accessories,10.8,3.8,0,2035
11,Canvas Tote Bag,accessories,13.2,3.8,0,999
12,Canvas Tote Bag,accessories,12.6,3.8,0,920
13,Canvas Tote Bag,accessories,11.4,3.8,0,1167
14,Canvas Tote Bag,accessories,12.6,3.8,0,1082
15,Canvas Tote Bag,accessories,13.2,3.8,0,782
16,Canvas Tote Bag,accessories,12.0,3.8,0,1291
17,Canvas Tote Bag,accessories,13.2,3.8,0,753
18,Canvas Tote Bag,accessories,8.67,3.8,1,2744
19,Canvas Tote Bag,accessories,12.0,3.8,0,1027
20,Canvas Tote Bag,accessories,12.0,3.8,0,888
21,Canvas Tote Bag,accessories,12.0,3.8,0,997
22,Canvas Tote Bag,accessories,12.0,3.8,0,951
23,Canvas Tote Bag,accessories,13.2,3.8,0,662
24,Canvas Tote Bag,accessories,10.71,3.8,1,1958
25,Canvas Tote Bag,accessories,13.2,3.8,0,616
26,Canvas Tote Bag,accessories,11.4,3.8,0,1029
27,Canvas Tote Bag,accessories,12.6,3.8,0,899
28,Canvas Tote Bag,accessories,10.71,3.8,1,1891
29,Canvas Tote Bag,accessories,12.6,3.8,0,849
30,Canvas Tote Bag,accessories,10.8,3.8,0,1162
31,Canvas Tote Bag,accessories,10.2,3.8,0,1378
32,Canvas Tote Bag,accessories,13.8,3.8,0,640
33,Canvas Tote Bag,accessories,13.2,3.8,0,735
34,Canvas Tote Bag,accessories,10.8,3.8,0,965
35,Canvas Tote Bag,accessories,12.0,3.8,0,747
36,Canvas Tote Bag,accessories,9.69,3.8,1,1999
37,Canvas Tote Bag,accessories,9.18,3.8,1,2348
38,Canvas Tote Bag,accessories,8.67,3.8,1,2459
39,Canvas Tote Bag,accessories,10.2,3.8,1,1549
40,Canvas Tote Bag,accessories,11.4,3.8,0,804
41,Canvas Tote Bag,accessories,10.8,3.8,0,846
42,Canvas Tote Bag,accessories,12.0,3.8,0,913
43,Canvas Tote Bag,accessories,13.2,3.8,0,694
44,Canvas Tote Bag,accessories,11.4,3.8,0,850
45,Canvas Tote Bag,accessories,13.2,3.8,0,763
46,Canvas Tote Bag,accessories,12.0,3.8,0,704
47,Canvas Tote Bag,accessories,10.8,3.8,0,1172
48,Canvas Tote Bag,accessories,9.69,3.8,1,2421
49,Canvas Tote Bag,accessories,10.8,3.8,0,1123
50,Canvas Tote Bag,accessories,13.2,3.8,0,580
51,Canvas Tote Bag,accessories,10.8,3.8,0,1158
